variant,metric,mean,sd,ci95_lo,ci95_hi
Oracle Replacement (C0),mean_width,3.33261409317196,0.7021419956564363,3.0704299631182677,3.594798223225652
Oracle Replacement (C0),low_coverage,0.8321666666666666,0.04641869668892967,0.8148336404627073,0.8494996928706259
Oracle Replacement (C0),high_coverage,0.9394333333333333,0.04980007155051869,0.9208376810053772,0.9580289856612895
Oracle Replacement (C0),width_ratio,5.0,1.999677155559149e-15,4.999999999999999,5.000000000000001
Oracle Replacement (C0),coverage_imbalance,0.11986666666666666,0.0741539560333924,0.09217712441890762,0.14755620891442572
Oracle Replacement (C0),coverage_error,0.010250000000000014,0.008837209082499745,0.006950131896780192,0.013549868103219837
Oracle Replacement (C0),width_ratio_error_vs_oracle,1.5099033134902129e-15,1.2807367570488885e-15,1.03166834883649e-15,1.9881382781439356e-15
Oracle Replacement (C0),winkler,3.761745714459298,0.5723770639778148,3.5480166062303984,3.9754748226881973
Oracle Replacement (C0),ramp_coverage_diag,0.9531666666666666,0.016161007422792067,0.9471320473188028,0.9592012860145304
Oracle Replacement (C0),ramp_mean_width_diag,3.33261409317196,0.7021419956564362,3.0704299631182677,3.594798223225652
