replication,seed,variant,geometry,calibration,coverage,mean_width,low_coverage,high_coverage,width_ratio,coverage_imbalance,coverage_error,width_ratio_error_vs_oracle,winkler,ramp_coverage_diag,ramp_mean_width_diag,low_mean_width,high_mean_width,q,q_A,q_R,q_OA,q_OR,q_A_block,q_R_block,quantile_crossing_frac_diag,spearman_s_sigma_test_diag,spearman_s_sigma_d2_diag,d2_raw_coverage_diag,final_train_pinball,d1_val_pinball,elapsed_s
1,1001,C0-M3 Replacement,M3,C0,0.8916666666666667,4.202341608044491,0.916,0.923,1.3903437335858435,0.007000000000000006,0.008333333333333304,3.6096562664141567,4.979141113573359,0.7525,3.5886146035978324,3.618799211313093,5.031374806554552,0.9661843961910976,1.1910231587082016,2.7067351685100354,1.052751404071957,2.7253730565206373,6.742520122120693,10.114899486577729,0.0,0.3019602634082137,0.262766321157124,0.675,0.1943117082118988,0.18898718059062958,9.283893199986778
1,1001,C1-M3 Replacement (block),M3,C1,0.9991666666666666,15.703886907056255,1.0,0.999,1.3903437335858435,0.0010000000000000009,0.09916666666666663,3.6096562664141567,15.704395824858603,0.9975,13.410427600657407,13.523225585711005,18.801931950961045,0.9661843961910976,1.1910231587082016,2.7067351685100354,1.052751404071957,2.7253730565206373,6.742520122120693,10.114899486577729,0.0,0.3019602634082137,0.262766321157124,0.675,0.1943117082118988,0.18898718059062958,9.284515400009695
1,1001,Oracle Additive (C0),OA,C0,0.9016666666666666,2.6746660087308607,0.997,0.795,1.8546535758450218,0.20199999999999996,0.0016666666666665941,3.1453464241549782,3.7550002027819014,0.93,2.67565123948468,1.8737607849936133,3.47517714016658,0.9661843961910976,1.1910231587082016,2.7067351685100354,1.052751404071957,2.7253730565206373,6.742520122120693,10.114899486577729,0.0,0.3019602634082137,0.262766321157124,0.675,0.1943117082118988,0.18898718059062958,9.285143000015523
1,1001,Oracle Replacement (C0),OR,C0,0.8979166666666667,3.2704476678247647,0.819,0.96,5.000000000000001,0.14100000000000001,0.002083333333333326,8.881784197001252e-16,3.594961974184248,0.94,3.2704476678247647,1.090149222608255,5.4507461130412755,0.9661843961910976,1.1910231587082016,2.7067351685100354,1.052751404071957,2.7253730565206373,6.742520122120693,10.114899486577729,0.0,0.3019602634082137,0.262766321157124,0.675,0.1943117082118988,0.18898718059062958,9.285816200019326
2,1002,M0 Raw Quantile,M0,none,0.7570833333333333,1.7708947441354395,0.999,0.482,1.117315563054207,0.517,0.1429166666666667,3.8826844369457927,5.536459301241597,0.84,1.743710011318326,1.677909256130457,1.8747541252672673,0.8217428934606419,0.8840250684696271,2.4299965626722804,0.8355581031613522,2.2331268888145797,7.608390113787513,11.661479530077658,0.0,0.31124440114197793,0.3397608587355166,0.7558333333333334,0.18836478888988495,0.179740309715271,9.515967799990904
2,1002,M1 Standard CQR,M1,C0,0.9095833333333333,3.414380531056722,1.0,0.789,1.0592657201523208,0.21099999999999997,0.009583333333333277,3.940734279847679,4.534123458770914,0.985,3.387195798239609,3.3213950430517394,3.5182399121885495,0.8217428934606419,0.8840250684696271,2.4299965626722804,0.8355581031613522,2.2331268888145797,7.608390113787513,11.661479530077658,0.0,0.31124440114197793,0.3397608587355166,0.7558333333333334,0.18836478888988495,0.179740309715271,9.516594799992163
2,1002,C0-M2 Scaled Additive,M2,C0,0.9066666666666666,3.1501587521100474,1.0,0.793,1.2385495320370659,0.20699999999999996,0.006666666666666599,3.761450467962934,4.1909109105897615,0.9575,2.919077774580811,2.8557553914897866,3.5369945037420027,0.8217428934606419,0.8840250684696271,2.4299965626722804,0.8355581031613522,2.2331268888145797,7.608390113787513,11.661479530077658,0.0,0.31124440114197793,0.3397608587355166,0.7558333333333334,0.18836478888988495,0.179740309715271,9.517235399980564
2,1002,C1-M2 Scaled Additive (block),M2,C1,1.0,13.64157467942677,1.0,1.0,1.36951078908648,0.0,0.09999999999999998,3.6304892109135203,13.64157467942677,1.0,11.859550374931361,11.815079808708116,16.18087927194359,0.8217428934606419,0.8840250684696271,2.4299965626722804,0.8355581031613522,2.2331268888145797,7.608390113787513,11.661479530077658,0.0,0.31124440114197793,0.3397608587355166,0.7558333333333334,0.18836478888988495,0.179740309715271,9.517832699988503
2,1002,C0-M3 Replacement,M3,C0,0.8966666666666666,3.791302891667989,0.952,0.872,1.4112542619733854,0.07999999999999996,0.0033333333333334103,3.5887457380266143,4.657964796948267,0.82,3.2308355571273877,3.2376480739791798,4.56914464317304,0.8217428934606419,0.8840250684696271,2.4299965626722804,0.8355581031613522,2.2331268888145797,7.608390113787513,11.661479530077658,0.0,0.31124440114197793,0.3397608587355166,0.7558333333333334,0.18836478888988495,0.179740309715271,9.518482399987988
2,1002,C1-M3 Replacement (block),M3,C1,1.0,18.19434716191125,1.0,1.0,1.4112542619733857,0.0,0.09999999999999998,3.5887457380266143,18.19434716191125,1.0,15.504681485250835,15.537374546235299,21.927186048251365,0.8217428934606419,0.8840250684696271,2.4299965626722804,0.8355581031613522,2.2331268888145797,7.608390113787513,11.661479530077658,0.0,0.31124440114197793,0.3397608587355166,0.7558333333333334,0.18836478888988495,0.179740309715271,9.519110099994577
2,1002,Oracle Additive (C0),OA,C0,0.9095833333333333,2.773564467929062,1.0,0.794,1.7622449496644104,0.20599999999999996,0.009583333333333277,3.23775505033559,3.8750924500827653,0.9725,2.746379735111949,2.0121324973949983,3.545870331589973,0.8217428934606419,0.8840250684696271,2.4299965626722804,0.8355581031613522,2.2331268888145797,7.608390113787513,11.661479530077658,0.0,0.31124440114197793,0.3397608587355166,0.7558333333333334,0.18836478888988495,0.179740309715271,9.519712599983905
