replication,seed,method,coverage,mean_width,median_width,low_coverage,high_coverage,low_mean_width,high_mean_width,width_ratio,coverage_error,coverage_imbalance,width_ratio_error_vs_oracle,winkler,ramp_coverage_diag,ramp_mean_width_diag,q,q_A,q_R,q_OA,q_OR,quantile_crossing_frac_diag,spearman_s_sigma_test_diag,spearman_s_sigma_d2_diag,d2_raw_coverage_diag,final_train_pinball,d1_val_pinball,elapsed_s
18,1018,M1 Standard CQR,0.89125,3.3985610178911583,3.423990575117757,1.0,0.751,3.524732101512839,3.273162866053869,0.9286274167188494,0.008750000000000036,0.249,4.071372583281151,4.744353867534782,0.97,3.3966286884301797,1.0794035780642877,1.3297580408305325,2.5260322996472127,1.125498239906229,2.4682390233467326,0.0,0.27956317018259214,0.30264911105584785,0.6258333333333334,0.21411189436912537,0.20870459079742432,15.835764999996172
18,1018,M2 Scaled Additive CQR,0.8908333333333334,3.2919494082745047,3.5441991734696994,0.998,0.792,3.163731292726198,3.556231707324375,1.1240625003458995,0.009166666666666656,0.20599999999999996,3.8759374996541007,4.3421189134017455,0.87,2.9517889495205973,1.0794035780642877,1.3297580408305325,2.5260322996472127,1.125498239906229,2.4682390233467326,0.0,0.27956317018259214,0.30264911105584785,0.6258333333333334,0.21411189436912537,0.20870459079742432,15.836622500006342
18,1018,M3 Replacement CQR,0.9008333333333334,3.898387583686684,4.420914511480583,0.963,0.901,3.415145283919555,4.638631579404324,1.3582530738137666,0.0008333333333333526,0.061999999999999944,3.6417469261862334,4.63273812142477,0.745,3.255883343810404,1.0794035780642877,1.3297580408305325,2.5260322996472127,1.125498239906229,2.4682390233467326,0.0,0.27956317018259214,0.30264911105584785,0.6258333333333334,0.21411189436912537,0.20870459079742432,15.83754389997921
18,1018,Oracle Additive CQR,0.8891666666666667,2.5903517496500577,2.601923510088441,0.994,0.761,1.8161242413467553,3.3653521897377514,1.8530407298798892,0.010833333333333361,0.23299999999999998,3.146959270120111,3.8568866655981515,0.9475,2.5884194201890796,1.0794035780642877,1.3297580408305325,2.5260322996472127,1.125498239906229,2.4682390233467326,0.0,0.27956317018259214,0.30264911105584785,0.6258333333333334,0.21411189436912537,0.20870459079742432,15.83833830000367
18,1018,Oracle Replacement CQR,0.8758333333333334,2.9618868280160795,2.961886828016079,0.801,0.922,0.987295609338693,4.936478046693465,5.0,0.02416666666666667,0.121,0.0,3.4618175049394417,0.9475,2.961886828016079,1.0794035780642877,1.3297580408305325,2.5260322996472127,1.125498239906229,2.4682390233467326,0.0,0.27956317018259214,0.30264911105584785,0.6258333333333334,0.21411189436912537,0.20870459079742432,15.839486099983333
19,1019,M0 Raw Quantile,0.4195833333333333,0.690822340870897,0.6974629778414965,0.685,0.17,0.7352022129409015,0.6469962656311691,0.8800249159249705,0.4804166666666667,0.515,4.11997508407503,9.413340164998385,0.38,0.6894378487952053,1.493665890940032,1.6445206706183004,2.5734810621905324,1.616375038839949,2.4544033755882246,0.0,0.3130082246940234,0.3170952473912502,0.425,0.2497328370809555,0.23196826875209808,16.49388049999834
19,1019,M1 Standard CQR,0.9079166666666667,3.6781541227509624,3.6847947597215605,1.0,0.789,3.7225339948209673,3.6343280475112345,0.9763048645271069,0.007916666666666683,0.21099999999999997,4.023695135472893,4.826521062980736,0.975,3.6767696306752704,1.493665890940032,1.6445206706183004,2.5734810621905324,1.616375038839949,2.4544033755882246,0.0,0.3130082246940234,0.3170952473912502,0.425,0.2497328370809555,0.23196826875209808,16.49454670000705
19,1019,M2 Scaled Additive CQR,0.9016666666666666,3.301309179387367,3.6130946547216585,0.997,0.812,2.987505351596269,3.7803680776761266,1.26539290570851,0.0016666666666665941,0.18499999999999994,3.7346070942914897,4.385680110104624,0.8875,2.8881715031432136,1.493665890940032,1.6445206706183004,2.5734810621905324,1.616375038839949,2.4544033755882246,0.0,0.3130082246940234,0.3170952473912502,0.425,0.2497328370809555,0.23196826875209808,16.495141199993668
19,1019,M3 Replacement CQR,0.8995833333333333,4.085104287253469,4.7086104807515925,0.952,0.884,3.5245890046870794,4.903357655010553,1.3911856527072959,0.0004166666666667318,0.06799999999999995,3.608814347292704,4.859016015586199,0.8075,3.440759074276737,1.493665890940032,1.6445206706183004,2.5734810621905324,1.616375038839949,2.4544033755882246,0.0,0.3130082246940234,0.3170952473912502,0.425,0.2497328370809555,0.23196826875209808,16.495783599995775
19,1019,Oracle Additive CQR,0.9016666666666666,2.630472387478835,2.647229020452586,0.962,0.821,1.3817522284768808,3.8797463433110657,2.8078451862442435,0.0016666666666665941,0.14100000000000001,2.1921548137557565,3.625472507005261,0.9525,2.629087895403144,1.493665890940032,1.6445206706183004,2.5734810621905324,1.616375038839949,2.4544033755882246,0.0,0.3130082246940234,0.3170952473912502,0.425,0.2497328370809555,0.23196826875209808,16.496533099998487
19,1019,Oracle Replacement CQR,0.88875,2.945284050705869,2.9452840507058693,0.836,0.915,0.98176135023529,4.908806751176449,4.999999999999999,0.011249999999999982,0.07900000000000007,8.881784197001252e-16,3.4562416502489297,0.955,2.9452840507058693,1.493665890940032,1.6445206706183004,2.5734810621905324,1.616375038839949,2.4544033755882246,0.0,0.3130082246940234,0.3170952473912502,0.425,0.2497328370809555,0.23196826875209808,16.497180600010324
